,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,default
529,41,male,1,own,little,little,662,6,car,no
530,32,male,2,own,little,moderate,2273,36,education,no
531,28,female,2,rent,moderate,moderate,2631,15,car,yes
532,41,male,2,rent,little,,1503,12,car,no
533,26,male,2,own,moderate,,1311,24,radio/TV,no
534,25,male,2,own,,,3105,24,radio/TV,no
535,33,male,2,rent,little,rich,2319,21,education,yes
536,75,female,3,own,,little,1374,6,car,no
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,no
538,42,male,3,free,little,little,7763,48,car,yes
539,45,female,1,own,little,rich,3049,18,furniture/equipment,no
540,23,male,2,rent,little,moderate,1534,12,radio/TV,no
541,60,male,2,free,little,,2032,24,car,no
542,31,male,2,own,,little,6350,30,furniture/equipment,no
543,34,male,1,own,little,rich,2864,18,furniture/equipment,no
544,61,male,1,own,little,,1255,12,car,no
545,43,male,2,free,little,little,1333,24,car,no
546,37,female,2,own,little,,2022,24,car,no
547,32,male,2,own,little,,1552,24,radio/TV,no
548,24,female,1,own,little,little,626,12,radio/TV,no
549,35,male,2,free,,,8858,48,car,no
550,23,female,2,own,,,996,12,repairs,no
551,45,male,1,own,quite rich,,1750,6,radio/TV,yes
552,34,male,2,own,little,little,6999,48,radio/TV,yes
553,27,male,2,own,moderate,moderate,1995,12,car,yes
554,67,female,3,own,little,moderate,1199,9,education,no
555,22,male,2,own,little,moderate,1331,12,radio/TV,no
556,28,female,2,own,moderate,moderate,2278,18,car,no
557,29,female,2,own,,,5003,21,car,no
558,27,male,2,own,little,little,3552,24,furniture/equipment,yes
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,no
560,49,male,2,free,,little,2964,24,car,yes
561,24,male,1,rent,little,little,1546,24,radio/TV,yes
562,29,female,2,own,little,rich,683,6,radio/TV,yes
563,37,male,2,free,,moderate,12389,36,car,yes
564,37,male,3,own,,moderate,4712,24,business,no
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,no
566,36,male,2,own,little,little,1372,12,car,no
567,34,male,2,own,rich,,2578,24,radio/TV,no
568,41,male,2,own,,moderate,3979,48,radio/TV,no
569,31,female,2,own,little,little,6758,48,radio/TV,no
570,23,female,1,rent,little,little,3234,24,furniture/equipment,no
571,38,male,2,own,little,,5954,30,radio/TV,no
572,26,female,3,rent,,,5433,24,car,no
573,22,female,1,own,little,little,806,15,business,no
574,27,male,1,own,little,moderate,1082,9,radio/TV,no
575,24,female,2,own,little,,2788,15,furniture/equipment,yes
576,27,female,2,own,little,moderate,2930,12,radio/TV,no
577,33,female,2,own,,,1927,24,education,no
578,27,male,2,own,little,moderate,2820,36,car,no
579,27,male,1,own,little,,937,24,education,no
580,30,male,2,own,little,moderate,1056,18,car,no
581,49,male,1,own,little,moderate,3124,12,car,yes
582,26,female,2,rent,little,,1388,9,furniture/equipment,no
583,33,male,1,rent,little,moderate,2384,36,repairs,no
584,52,female,3,free,,,2133,12,car,no
585,20,female,2,rent,little,little,2039,18,furniture/equipment,yes
586,36,male,2,rent,little,little,2799,9,car,no
587,21,male,1,own,little,little,1289,12,furniture/equipment,no
588,47,male,1,own,little,little,1217,18,domestic appliances,no
589,60,male,2,own,little,little,2246,12,furniture/equipment,no
590,58,female,1,own,little,little,385,12,radio/TV,no
591,42,female,2,rent,,moderate,1965,24,car,no
592,36,female,1,own,rich,,1572,21,business,yes
593,20,female,1,rent,little,moderate,2718,24,car,no
594,40,male,3,own,,little,1358,24,vacation/others,no
595,32,female,1,own,moderate,moderate,931,6,car,no
596,23,female,2,rent,little,little,1442,24,car,no
597,36,male,1,own,little,moderate,4241,24,business,no
598,31,male,2,own,little,,2775,18,car,no
599,32,male,2,free,little,,3863,24,business,yes
600,45,female,2,own,little,moderate,2329,7,radio/TV,yes
601,30,female,2,own,little,moderate,918,9,furniture/equipment,no
602,34,female,1,free,little,moderate,1837,24,education,no
603,28,female,3,own,little,,3349,36,furniture/equipment,no
604,23,female,2,own,little,rich,1275,10,furniture/equipment,no
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,yes
606,74,male,3,own,little,,4526,24,business,yes
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,no
608,33,male,2,own,little,,2051,18,radio/TV,yes
609,45,male,2,free,,,1300,15,car,no
610,22,female,2,own,moderate,little,741,12,domestic appliances,yes
611,48,female,1,free,moderate,rich,1240,10,car,no
612,29,female,2,own,rich,little,3357,21,radio/TV,no
613,22,female,2,rent,little,little,3632,24,car,yes
614,22,female,2,own,little,,1808,18,furniture/equipment,yes
615,48,male,3,own,,moderate,12204,48,business,no
616,27,male,3,free,,moderate,9157,60,radio/TV,no
617,37,male,2,rent,little,little,3676,6,car,no
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,no
619,49,male,1,own,little,,640,12,car,no
620,27,male,2,own,little,moderate,3652,21,business,no
621,32,male,2,own,little,,1530,18,car,no
622,38,male,2,own,,,3914,48,business,no
623,22,female,2,rent,little,little,1858,12,furniture/equipment,no
624,65,male,2,free,little,little,2600,18,radio/TV,no
625,35,male,2,own,,,1979,15,radio/TV,no
626,41,male,2,own,little,rich,2116,6,furniture/equipment,no
627,29,male,2,own,moderate,moderate,1437,9,car,no
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,no
629,64,male,1,own,,,3832,9,education,no
630,28,female,2,own,little,little,3660,24,radio/TV,yes
631,44,male,2,own,little,little,1553,18,furniture/equipment,yes
632,23,male,2,own,,moderate,1444,15,radio/TV,no
633,19,female,2,rent,little,,1980,9,furniture/equipment,no
634,25,female,1,own,little,moderate,1355,24,car,no
635,47,male,2,own,little,,1393,12,education,no
636,28,female,2,own,quite rich,,1376,24,radio/TV,no
637,21,male,2,own,little,,15653,60,radio/TV,yes
638,34,female,2,own,little,,1493,12,radio/TV,no
639,26,male,2,own,little,little,4370,42,radio/TV,no
640,27,female,0,own,little,little,750,18,education,no
641,38,male,1,own,little,moderate,1308,15,repairs,no
642,40,male,3,own,moderate,,4623,15,education,no
643,33,male,2,own,little,,1851,24,radio/TV,no
644,32,male,3,own,little,little,1880,18,radio/TV,no
645,27,male,2,rent,,,7980,36,business,no
646,32,male,2,own,little,little,4583,30,furniture/equipment,no
647,26,female,2,own,quite rich,,1386,12,car,yes
648,38,male,2,free,little,rich,947,24,car,no
649,40,male,1,rent,little,little,684,12,education,yes
650,50,male,3,free,little,little,7476,48,education,yes
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,no
652,45,male,2,own,little,little,2303,24,car,no
653,42,male,3,own,moderate,moderate,8086,36,car,no
654,35,male,2,own,little,,2346,24,car,no
655,22,male,2,free,little,little,3973,14,car,no
656,41,male,1,own,little,moderate,888,12,car,no
657,37,male,2,own,,,10222,48,radio/TV,yes
658,28,female,2,own,little,moderate,4221,30,business,no
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,no
660,23,male,2,rent,little,rich,1297,12,radio/TV,no
661,23,male,2,own,,little,900,12,car,no
662,50,male,2,own,little,,2241,21,furniture/equipment,no
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,no
664,50,female,1,own,little,rich,1047,6,education,yes
665,27,male,3,own,little,,6314,24,vacation/others,no
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,yes
667,27,female,2,own,little,,3609,48,business,yes
668,43,male,2,rent,little,little,4843,12,car,no
669,47,male,2,own,little,rich,3017,30,radio/TV,no
670,27,male,1,own,moderate,,4139,24,business,no
671,31,male,2,own,moderate,,5742,36,business,yes
672,42,male,3,own,little,,10366,60,car,yes
673,24,male,2,own,quite rich,,2080,6,car,yes
674,41,male,1,own,quite rich,,2580,21,business,yes
675,26,female,3,rent,little,,4530,30,radio/TV,no
676,33,male,2,own,little,,5150,24,furniture/equipment,no
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,no
678,64,male,1,rent,little,little,2384,24,radio/TV,yes
679,26,female,2,own,little,,1453,18,radio/TV,no
680,56,female,2,own,little,,1538,6,education,no
681,37,male,2,free,,,2279,12,radio/TV,no
682,33,male,2,own,little,,1478,15,radio/TV,no
683,47,male,2,free,little,,5103,24,radio/TV,no
684,31,male,1,own,moderate,moderate,9857,36,business,yes
685,34,male,2,free,,,6527,60,car,no
686,27,male,2,own,,rich,1347,10,radio/TV,no
687,30,male,2,free,moderate,moderate,2862,36,car,yes
688,35,male,2,own,moderate,,2753,9,radio/TV,yes
689,31,male,2,own,rich,little,3651,12,car,no
690,25,male,2,own,little,little,975,15,furniture/equipment,no
691,25,female,1,own,moderate,moderate,2631,15,repairs,no
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,no
693,44,male,1,own,,little,4716,6,car,no
694,28,male,2,own,little,,2284,24,radio/TV,yes
695,50,male,2,rent,quite rich,,1236,6,car,no
696,29,male,2,own,little,moderate,1103,12,radio/TV,no
697,38,female,0,own,little,,926,12,car,no
698,24,male,2,own,little,,1800,18,radio/TV,yes
699,40,male,3,rent,little,rich,1905,15,education,no
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,no
701,46,male,2,free,little,little,6331,48,car,no
702,47,female,2,free,moderate,rich,1377,24,radio/TV,yes
703,41,male,2,own,moderate,moderate,2503,30,business,yes
704,32,female,2,own,little,moderate,2528,27,business,yes
705,35,female,2,free,quite rich,,5324,15,car,yes
706,24,male,2,own,moderate,moderate,6560,48,car,no
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,yes
708,25,female,2,own,little,moderate,1206,9,radio/TV,no
709,37,male,1,own,little,moderate,2118,9,radio/TV,no
710,32,male,3,own,quite rich,,629,18,radio/TV,no
711,35,female,2,free,little,little,1198,6,education,no
712,46,male,3,own,,,2476,21,car,no
713,25,male,1,own,little,little,1138,9,radio/TV,no
714,27,male,3,own,little,moderate,14027,60,car,no
715,63,male,2,own,,,7596,30,car,yes
716,40,male,2,own,,,3077,30,radio/TV,no
717,32,male,3,free,little,,1505,18,radio/TV,yes
718,31,male,2,own,,rich,3148,24,radio/TV,no
719,31,male,2,own,moderate,moderate,6148,20,car,no
720,34,male,3,own,little,rich,1337,9,radio/TV,no
721,24,female,2,rent,rich,moderate,433,6,education,no
722,24,female,1,own,little,little,1228,12,car,no
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,no
724,21,female,2,rent,little,,2570,27,car,no
725,41,female,1,own,rich,,250,6,car,no
726,47,male,1,own,quite rich,,1316,15,radio/TV,no
727,25,female,2,rent,little,little,1882,18,radio/TV,no
728,59,female,2,rent,little,moderate,6416,48,business,yes
729,36,male,2,own,rich,rich,1275,24,business,no
730,33,male,2,own,little,moderate,6403,24,radio/TV,no
731,21,male,1,rent,little,little,1987,24,radio/TV,no
732,44,female,1,own,little,moderate,760,8,radio/TV,no
733,28,female,2,rent,rich,,2603,24,car,no
734,37,female,2,own,little,,3380,4,car,yes
735,29,female,0,own,,moderate,3990,36,domestic appliances,no
736,23,female,3,rent,little,moderate,11560,24,car,yes
737,35,male,1,own,moderate,little,4380,18,car,no
738,45,male,3,own,little,,6761,6,car,yes
739,26,female,1,rent,moderate,moderate,4280,30,business,no
740,32,male,2,own,moderate,little,2325,24,car,no
741,23,male,1,own,little,moderate,1048,10,radio/TV,no
742,41,male,2,own,,,3160,21,radio/TV,no
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,no
744,30,male,3,own,,little,14179,39,furniture/equipment,no
745,28,male,1,own,little,little,1797,13,business,no
746,23,female,2,rent,little,little,2511,15,car,no
747,37,female,1,own,little,little,1274,12,car,no
748,26,male,2,own,,,5248,21,car,no
749,33,male,2,own,little,,3029,15,car,no
750,49,female,2,own,little,little,428,6,furniture/equipment,no
751,23,female,1,own,little,little,976,18,car,no
752,23,female,1,rent,moderate,moderate,841,12,business,no
753,25,female,2,own,little,,5771,30,radio/TV,no
754,55,male,2,free,rich,,1555,12,repairs,no
755,32,female,2,rent,,little,1285,24,car,no
756,74,male,0,own,little,rich,1299,6,car,yes
757,39,male,2,free,,rich,1271,15,radio/TV,no
758,31,male,2,own,little,,1393,24,car,yes
759,35,male,2,own,little,little,691,12,car,no
760,59,female,2,own,,,5045,15,car,yes
761,24,female,2,rent,little,little,2124,18,furniture/equipment,no
762,24,male,1,own,little,little,2214,12,radio/TV,no
763,30,male,3,free,,,12680,21,car,no
764,27,male,2,own,moderate,,2463,24,car,yes
765,40,male,1,own,little,moderate,1155,12,radio/TV,no
766,31,male,1,own,little,little,3108,30,furniture/equipment,yes
767,31,female,2,rent,,,2901,10,car,no
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,yes
769,63,male,1,own,little,,1655,12,radio/TV,no
770,26,female,2,rent,,little,2812,24,car,no
771,25,female,3,own,little,little,8065,36,education,yes
772,36,male,3,own,little,,3275,21,car,yes
773,52,male,2,own,moderate,,2223,24,radio/TV,yes
774,66,male,0,free,quite rich,rich,1480,12,car,yes
775,25,female,2,rent,,little,1371,24,car,no
776,37,male,2,own,little,,3535,36,car,no
777,25,female,2,own,little,little,3509,18,radio/TV,no
778,38,male,3,own,rich,,5711,36,car,no
779,67,female,2,own,little,moderate,3872,18,repairs,no
780,25,male,2,own,little,moderate,4933,39,radio/TV,no
781,60,male,2,own,rich,,1940,24,car,no
782,31,male,1,own,little,moderate,1410,12,education,no
783,23,female,1,own,moderate,moderate,836,12,car,no
784,60,male,3,own,,moderate,6468,20,car,no
785,35,male,1,own,rich,moderate,1941,18,business,yes
786,40,male,2,own,quite rich,,2675,22,radio/TV,no
787,38,male,2,own,,,2751,48,car,yes
788,50,male,2,free,little,moderate,6224,48,education,no
789,27,male,2,own,little,little,5998,40,education,yes
790,39,female,2,own,little,moderate,1188,21,business,yes
791,41,male,3,own,,,6313,24,car,no
792,27,male,2,own,,,1221,6,furniture/equipment,no
793,51,male,2,free,little,rich,2892,24,furniture/equipment,yes
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,yes
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,no
796,51,male,2,free,,little,7511,18,car,no
797,22,female,1,rent,little,,1258,12,furniture/equipment,no
798,54,male,2,own,,,717,24,car,yes
799,35,male,0,own,,moderate,1549,9,car,no
800,54,male,2,free,little,,1597,24,education,no
801,48,female,1,rent,little,moderate,1795,18,radio/TV,no
802,24,female,2,own,little,little,4272,20,furniture/equipment,no
803,35,male,2,own,,,976,12,radio/TV,yes
804,24,female,0,rent,,moderate,7472,12,car,no
805,24,male,2,own,little,little,9271,36,car,yes
806,26,male,1,own,little,moderate,590,6,radio/TV,no
807,65,male,2,own,,,930,12,radio/TV,no
808,55,male,3,free,little,moderate,9283,42,car,no
809,26,female,0,rent,little,moderate,1778,15,car,yes
810,26,male,2,own,little,moderate,907,8,business,no
811,28,male,1,own,little,moderate,484,6,radio/TV,no
812,24,male,2,own,little,little,9629,36,car,no
813,54,male,2,own,little,little,3051,48,domestic appliances,no
814,46,male,2,free,little,little,3931,48,car,yes
815,54,female,2,rent,little,moderate,7432,36,car,no
816,62,male,2,own,quite rich,,1338,6,domestic appliances,no
817,24,female,2,rent,little,,1554,6,radio/TV,no
818,43,male,3,own,little,little,15857,36,vacation/others,no
819,26,male,2,own,little,little,1345,18,radio/TV,no
820,27,male,2,own,little,,1101,12,car,yes
821,24,male,2,own,little,rich,3016,12,radio/TV,no
822,41,male,2,own,little,little,2712,36,furniture/equipment,no
823,47,male,1,own,little,little,731,8,car,no
824,35,male,3,own,little,,3780,18,furniture/equipment,no
825,30,male,2,own,little,little,1602,21,car,no
826,33,female,2,rent,little,little,3966,18,car,no
827,36,male,2,own,little,,4165,18,business,yes
828,47,male,2,free,,little,8335,36,car,no
829,38,male,2,free,,moderate,6681,48,business,no
830,44,male,2,own,quite rich,,2375,24,business,no
831,23,female,2,rent,little,little,1216,18,car,yes
832,29,male,2,rent,little,little,11816,45,business,no
833,42,female,2,own,,moderate,5084,24,radio/TV,no
834,25,female,1,own,little,rich,2327,15,radio/TV,no
835,48,male,2,own,little,little,1082,12,car,yes
836,21,female,2,own,,,886,12,radio/TV,no
837,23,female,1,rent,little,,601,4,furniture/equipment,yes
838,63,male,2,own,little,little,2957,24,car,yes
839,46,male,2,own,little,,2611,24,radio/TV,no
840,29,male,2,own,little,little,5179,36,furniture/equipment,no
841,28,male,1,own,little,,2993,21,car,no
842,23,female,2,own,little,,1943,18,repairs,no
843,50,male,2,own,little,,1559,24,business,no
844,47,male,2,own,little,,3422,18,furniture/equipment,no
845,35,male,2,own,,moderate,3976,21,furniture/equipment,no
846,68,male,2,rent,,,6761,18,car,no
847,28,male,2,own,little,,1249,24,car,no
848,59,male,2,own,little,little,1364,9,radio/TV,no
849,57,male,1,own,little,little,709,12,radio/TV,no
850,33,male,2,rent,little,little,2235,20,car,no
851,43,male,2,own,,,4042,24,car,no
852,35,male,2,free,little,,1471,15,radio/TV,no
853,32,male,1,free,little,little,1442,18,car,no
854,45,male,2,own,little,,10875,36,car,yes
855,33,male,2,own,moderate,,1474,24,car,no
856,40,female,2,own,,,894,10,education,no
857,28,male,2,free,little,,3343,15,furniture/equipment,no
858,29,female,2,own,little,little,3959,15,car,no
859,26,male,2,rent,moderate,,3577,9,car,yes
860,27,male,2,own,rich,,5804,24,car,yes
861,28,male,2,own,little,,2169,18,business,no
862,35,female,2,own,little,little,2439,24,radio/TV,yes
863,32,male,1,own,rich,,4526,27,furniture/equipment,yes
864,25,male,1,rent,little,,2210,10,furniture/equipment,no
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,no
866,27,female,2,own,little,little,2389,18,radio/TV,yes
867,42,male,2,own,little,,3331,12,furniture/equipment,no
868,37,male,2,own,,,7409,36,business,yes
869,24,female,2,rent,little,little,652,12,furniture/equipment,no
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,no
871,46,male,2,own,little,rich,1343,6,car,yes
872,26,male,2,own,moderate,little,1382,24,business,no
873,24,female,2,own,,,874,15,domestic appliances,yes
874,29,male,1,own,little,little,3590,12,furniture/equipment,yes
875,40,female,2,own,rich,moderate,1322,11,car,yes
876,36,male,3,free,little,little,1940,18,radio/TV,no
877,28,male,2,own,little,,3595,36,radio/TV,no
878,27,male,3,free,little,little,1422,9,car,no
879,36,male,2,own,,,6742,30,radio/TV,no
880,38,male,3,own,little,,7814,24,car,no
881,48,male,2,free,,,9277,24,car,no
882,36,male,2,own,,moderate,2181,30,car,no
883,65,female,0,own,little,,1098,18,radio/TV,no
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,no
885,53,female,2,own,little,little,795,12,education,yes
886,34,male,2,own,,moderate,2825,24,business,no
887,23,male,2,own,little,moderate,15672,48,business,no
888,34,male,3,own,little,,6614,36,car,no
889,40,male,2,rent,,,7824,28,car,no
890,43,male,3,own,little,little,2442,27,business,yes
891,46,male,2,own,little,,1829,15,radio/TV,no
892,38,male,1,own,little,little,2171,12,car,no
893,34,male,2,own,little,moderate,5800,36,car,no
894,29,male,2,own,,,1169,18,radio/TV,no
895,31,male,3,own,,,8947,36,car,no
896,28,female,3,rent,little,little,2606,21,radio/TV,yes
897,35,female,2,own,rich,,1592,12,furniture/equipment,yes
898,33,female,1,rent,,,2186,15,furniture/equipment,yes
899,42,male,2,own,little,little,4153,18,furniture/equipment,no
900,43,male,2,rent,little,little,2625,16,car,no
901,44,male,2,own,,,3485,20,car,no
902,42,male,2,free,,,10477,36,car,no
903,40,male,2,rent,,,1386,15,radio/TV,no
904,36,male,3,own,little,,1278,24,radio/TV,no
905,20,male,3,rent,little,little,1107,12,radio/TV,yes
906,24,male,1,own,,little,3763,21,car,yes
907,27,male,2,own,,moderate,3711,36,education,no
908,46,female,1,own,little,,3594,15,car,no
909,33,female,1,own,,moderate,3195,9,car,no
910,34,female,2,own,little,,4454,36,radio/TV,no
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,no
912,25,female,2,own,,moderate,2991,30,radio/TV,yes
913,28,male,2,own,rich,,2142,11,business,yes
914,31,male,2,rent,little,little,3161,24,business,no
915,32,female,3,own,little,moderate,18424,48,vacation/others,no
916,32,male,2,own,moderate,,2848,10,car,no
917,68,male,3,own,little,little,14896,6,car,no
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,yes
919,39,male,3,rent,little,little,3345,24,furniture/equipment,yes
920,28,female,2,own,little,,1817,18,furniture/equipment,yes
921,37,male,3,own,quite rich,,12749,48,radio/TV,no
922,22,female,2,rent,little,little,1366,9,radio/TV,yes
923,30,male,2,rent,little,moderate,2002,12,car,no
924,55,male,2,own,little,little,6872,24,furniture/equipment,yes
925,46,male,2,own,little,little,697,12,car,no
926,21,female,2,rent,little,little,1049,18,furniture/equipment,yes
927,39,male,2,free,little,little,10297,48,car,no
928,58,male,2,own,,,1867,30,radio/TV,no
929,43,male,1,own,little,little,1344,12,car,yes
930,24,male,1,own,little,little,1747,24,furniture/equipment,yes
931,22,female,2,own,little,moderate,1670,9,radio/TV,no
932,30,male,2,own,little,,1224,9,car,yes
933,42,male,2,own,quite rich,,522,12,radio/TV,yes
934,23,female,2,own,little,little,1498,12,radio/TV,no
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,yes
936,28,female,1,own,little,rich,745,9,radio/TV,yes
937,30,male,3,rent,little,moderate,2063,6,radio/TV,yes
938,42,male,2,free,little,moderate,6288,60,education,yes
939,46,male,3,own,,,6842,24,car,yes
940,45,male,3,own,,,3527,12,car,no
941,31,male,1,own,little,,1546,10,car,yes
942,31,male,2,own,,,929,24,furniture/equipment,yes
943,42,male,1,own,little,,1455,4,car,no
944,46,female,2,rent,little,little,1845,15,furniture/equipment,yes
945,30,female,2,own,quite rich,moderate,8358,48,car,no
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,yes
947,38,male,3,own,,,2859,12,car,no
948,43,male,1,own,little,,1533,18,furniture/equipment,no
949,31,male,2,own,moderate,,3621,24,radio/TV,no
950,40,male,0,own,little,moderate,3590,18,business,yes
951,24,male,2,own,little,little,2145,36,business,yes
952,28,female,2,rent,quite rich,moderate,4113,24,car,no
953,26,female,3,own,little,,10974,36,furniture/equipment,yes
954,29,female,2,own,little,little,1893,12,car,no
955,57,female,3,rent,rich,little,1231,24,radio/TV,no
956,49,male,1,own,,rich,3656,30,radio/TV,no
957,37,male,1,own,little,moderate,1154,9,radio/TV,no
958,45,male,1,own,little,little,4006,28,car,no
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,yes
960,30,male,2,rent,little,,1740,6,radio/TV,no
961,47,male,2,own,little,moderate,2353,21,car,no
962,29,male,2,own,,,3556,15,car,no
963,35,male,2,own,quite rich,,2397,24,radio/TV,no
964,22,male,1,own,little,moderate,454,6,repairs,yes
965,26,female,2,own,,moderate,1715,30,radio/TV,no
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,no
967,54,female,3,rent,little,,3568,15,radio/TV,no
968,29,male,2,rent,,,7166,42,radio/TV,no
969,40,male,1,own,little,little,3939,11,car,yes
970,22,male,2,own,moderate,moderate,1514,15,repairs,no
971,43,male,1,own,little,,7393,24,car,no
972,29,female,0,rent,little,little,1193,24,car,no
973,36,male,2,rent,little,little,7297,60,business,yes
974,33,female,2,own,little,,2831,30,radio/TV,no
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,no
976,64,female,2,own,little,moderate,753,6,radio/TV,no
977,42,male,2,own,,moderate,2427,18,business,no
978,47,male,1,own,little,,2538,24,car,no
979,25,male,2,rent,moderate,moderate,1264,15,car,yes
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,yes
981,33,male,3,rent,little,,4844,48,business,no
982,28,female,3,own,moderate,rich,2923,21,car,no
983,26,male,2,own,little,little,8229,36,car,no
984,30,male,1,own,little,,2028,24,furniture/equipment,no
985,25,female,2,rent,little,little,1433,15,furniture/equipment,no
986,33,male,2,own,little,rich,6289,42,business,no
987,64,female,2,own,moderate,,1409,13,radio/TV,yes
988,29,male,3,free,little,little,6579,24,car,no
989,48,male,1,own,little,moderate,1743,24,radio/TV,yes
990,37,male,1,own,,,3565,12,education,yes
991,34,male,1,own,moderate,,1569,15,radio/TV,no
992,23,male,1,rent,,little,1936,18,radio/TV,no
993,30,male,3,own,little,little,3959,36,furniture/equipment,no
994,50,male,2,own,,,2390,12,car,yes
995,31,female,1,own,little,,1736,12,furniture/equipment,no
996,40,male,3,own,little,little,3857,30,car,no
997,38,male,2,own,little,,804,12,radio/TV,no
998,23,male,2,free,little,little,1845,45,radio/TV,yes
999,27,male,2,own,moderate,moderate,4576,45,car,no
